"DistrictID","DistrictName","DistrictClassification","SchoolYear","TeacherSalary","TeacherFTE","RecapturePaid"
10902,"BANDERA ISD","NON-METROPOLITAN FAST GROWING","1993-94",2896653,108.0075,0
11901,"BASTROP ISD","INDEPENDENT TOWN","1993-94",8201576,316.9835,0
11902,"ELGIN ISD","NON-METROPOLITAN STABLE","1993-94",4376775,164.2801,0
11904,"SMITHVILLE ISD","NON-METROPOLITAN STABLE","1993-94",2703697,103.2547,0
11905,"MCDADE ISD","RURAL","1993-94",239726,10,0
12901,"SEYMOUR ISD","RURAL","1993-94",1555122,57.9166,0
13901,"BEEVILLE ISD","INDEPENDENT TOWN","1993-94",6878939,259.9047,0
13902,"PAWNEE ISD","RURAL","1993-94",305249,12.015,0
13903,"PETTUS ISD","RURAL","1993-94",894230,32.8236,0
13905,"SKIDMORE-TYNAN ISD","RURAL","1993-94",1304852,52.2651,0
14901,"ACADEMY ISD","NON-METROPOLITAN STABLE","1993-94",1578379,62.8471,0
14902,"BARTLETT ISD","NON-METROPOLITAN FAST GROWING","1993-94",825209,30.3955,0
14903,"BELTON ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",9452713,353.3359,0
14905,"HOLLAND ISD","RURAL","1993-94",865211,32.2363,0
14906,"KILLEEN ISD","OTHER CENTRAL CITY","1993-94",42066483,1542.4843,0
14907,"ROGERS ISD","NON-METROPOLITAN STABLE","1993-94",1404839,56.0003,0
14908,"SALADO ISD","NON-METROPOLITAN FAST GROWING","1993-94",1248042,47.6181,0
14909,"TEMPLE ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",16163858,559.7489,0
14910,"TROY ISD","NON-METROPOLITAN STABLE","1993-94",2007528,74.8509,0
15901,"ALAMO HEIGHTS ISD","MAJOR SUBURBAN","1993-94",9164293,252.2225,0
15904,"HARLANDALE ISD","MAJOR SUBURBAN","1993-94",26254927,924.9722,0
15905,"EDGEWOOD ISD","MAJOR SUBURBAN","1993-94",26918044,928.563,0
15906,"RANDOLPH FIELD ISD","NON-METROPOLITAN STABLE","1993-94",2429030,76.3696,0
15907,"SAN ANTONIO ISD","MAJOR URBAN","1993-94",119475060,3441.465,0
15908,"SOUTH SAN ANTONIO ISD","MAJOR SUBURBAN","1993-94",21179442,688.2568,0
15909,"SOMERSET ISD","NON-METROPOLITAN STABLE","1993-94",3336460,119.474,0
15910,"NORTH EAST ISD","MAJOR SUBURBAN","1993-94",78835802,2643.9565,0
15911,"EAST CENTRAL ISD","MAJOR SUBURBAN","1993-94",10232024,374.0612,0
15912,"SOUTHWEST ISD","MAJOR SUBURBAN","1993-94",13997150,506.0738,0
15913,"LACKLAND ISD","NON-METROPOLITAN STABLE","1993-94",2238736,67.4397,0
15914,"FT SAM HOUSTON ISD","NON-METROPOLITAN STABLE","1993-94",3519271,107.4932,0
15915,"NORTHSIDE ISD","MAJOR URBAN","1993-94",103352747,3477.8288,0
15916,"JUDSON ISD","MAJOR SUBURBAN","1993-94",25907615,874.2666,0
15917,"SOUTHSIDE ISD","NON-METROPOLITAN STABLE","1993-94",6063194,211.0309,0
16901,"JOHNSON CITY ISD","RURAL","1993-94",1147476,43.5574,0
16902,"BLANCO ISD","RURAL","1993-94",1471614,59.0264,0
17901,"BORDEN COUNTY ISD","RURAL","1993-94",588401,18.9922,1325616
18901,"CLIFTON ISD","NON-METROPOLITAN FAST GROWING","1993-94",1938951,73.5471,0
18902,"MERIDIAN ISD","RURAL","1993-94",857036,34.1591,0
18903,"MORGAN ISD","RURAL","1993-94",364433,15.4201,0
18904,"VALLEY MILLS ISD","RURAL","1993-94",974032,36.0705,0
18905,"WALNUT SPRINGS ISD","RURAL","1993-94",425274,15.9314,0
18906,"IREDELL ISD","RURAL","1993-94",322261,13.2603,0
18907,"KOPPERL ISD","RURAL","1993-94",489872,19.7003,0
18908,"CRANFILLS GAP ISD","RURAL","1993-94",399306,14.8341,0
19901,"DEKALB ISD","NON-METROPOLITAN STABLE","1993-94",2001782,78.5447,0
19902,"HOOKS ISD","NON-METROPOLITAN STABLE","1993-94",1954672,76.0613,0
19903,"MAUD ISD","RURAL","1993-94",810747,31.6751,0
19905,"NEW BOSTON ISD","NON-METROPOLITAN STABLE","1993-94",2908419,113.0929,0
19906,"REDWATER ISD","NON-METROPOLITAN FAST GROWING","1993-94",1831299,69.9015,0
19907,"TEXARKANA ISD","INDEPENDENT TOWN","1993-94",9238509,350.1981,0
19908,"LIBERTY-EYLAU ISD","NON-METROPOLITAN STABLE","1993-94",4689691,182.8472,0
19909,"SIMMS ISD","RURAL","1993-94",1014925,39.3953,0
19910,"MALTA ISD","RURAL","1993-94",153199,7,0
19911,"RED LICK ISD","NON-METROPOLITAN FAST GROWING","1993-94",503284,21.4733,0
19912,"PLEASANT GROVE ISD","NON-METROPOLITAN STABLE","1993-94",2873902,112.9553,0
19913,"HUBBARD ISD","RURAL","1993-94",182744,8.0001,0
19914,"LEARY ISD","RURAL","1993-94",235428,9.0586,0
20901,"ALVIN ISD","OTHER CENTRAL CITY","1993-94",17103721,602.7839,0
20902,"ANGLETON ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",10311779,354.874,0
20904,"DANBURY ISD","RURAL","1993-94",1393796,48.3031,0
20905,"BRAZOSPORT ISD","OTHER CENTRAL CITY","1993-94",23156337,732.29,0
20906,"SWEENY ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",3737002,127.8956,0
20907,"COLUMBIA-BRAZORIA ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",6327299,215.2667,0
20908,"PEARLAND ISD","MAJOR SUBURBAN","1993-94",12852989,446.6173,0
20910,"DAMON ISD","RURAL","1993-94",273107,11.4767,0
21901,"COLLEGE STATION ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",10291637,370.9119,0
21902,"BRYAN ISD","OTHER CENTRAL CITY","1993-94",22277871,819.7983,0
22004,"TERLINGUA CSD","RURAL","1993-94",223256,9.8852,0
22901,"ALPINE ISD","NON-METROPOLITAN STABLE","1993-94",2513728,94.2763,0
22902,"MARATHON ISD","RURAL","1993-94",332664,13.2572,0
22903,"SAN VICENTE ISD","RURAL","1993-94",159068,6.0001,0
23902,"SILVERTON ISD","RURAL","1993-94",633696,24.2094,0
24901,"BROOKS COUNTY ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",4140702,138.7405,0
25901,"BANGS ISD","NON-METROPOLITAN STABLE","1993-94",1738043,66.8037,0
25902,"BROWNWOOD ISD","INDEPENDENT TOWN","1993-94",6899709,261.6253,0
25904,"BLANKET ISD","RURAL","1993-94",444284,19.1847,0
25905,"MAY ISD","RURAL","1993-94",471280,18.9017,0
25906,"ZEPHYR ISD","RURAL","1993-94",407321,14.5815,0
25908,"BROOKESMITH ISD","RURAL","1993-94",357986,15.0011,0
25909,"EARLY ISD","NON-METROPOLITAN STABLE","1993-94",2014852,79.0435,0
26901,"CALDWELL ISD","NON-METROPOLITAN STABLE","1993-94",3020299,113.3512,0
26902,"SOMERVILLE ISD","RURAL","1993-94",1487012,56.5513,0
26903,"SNOOK ISD","RURAL","1993-94",1079472,43.3944,0
27903,"BURNET CISD","NON-METROPOLITAN STABLE","1993-94",3990678,152.3487,0
27904,"MARBLE FALLS ISD","NON-METROPOLITAN FAST GROWING","1993-94",4640915,167.4497,0
28902,"LOCKHART ISD","INDEPENDENT TOWN","1993-94",5665367,210.7568,0
28903,"LULING ISD","NON-METROPOLITAN STABLE","1993-94",2546128,98.1015,0
28906,"PRAIRIE LEA ISD","RURAL","1993-94",491360,18.9998,0
29901,"CALHOUN COUNTY ISD","NON-METROPOLITAN STABLE","1993-94",7619944,259.7053,0
30901,"CROSS PLAINS ISD","RURAL","1993-94",967586,38.6515,0
30902,"CLYDE CISD","OTHER CENTRAL CITY SUBURBAN","1993-94",2608836,102.5102,0
30903,"BAIRD ISD","RURAL","1993-94",913802,35.7804,0
30906,"EULA ISD","RURAL","1993-94",1056923,40.8494,0
31901,"BROWNSVILLE ISD","OTHER CENTRAL CITY","1993-94",74570028,2452.0355,0
31903,"HARLINGEN CISD","OTHER CENTRAL CITY SUBURBAN","1993-94",26875875,888.2329,0
31905,"LA FERIA ISD","NON-METROPOLITAN STABLE","1993-94",4510849,146.3811,0
31906,"LOS FRESNOS CISD","OTHER CENTRAL CITY SUBURBAN","1993-94",1078260,299.2568,0
31909,"POINT ISABEL ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",3910812,136.456,0
31911,"RIO HONDO ISD","NON-METROPOLITAN STABLE","1993-94",3151193,107.2748,0
31912,"SAN BENITO CISD","OTHER CENTRAL CITY SUBURBAN","1993-94",13443353,459.9587,0
31913,"SANTA MARIA ISD","NON-METROPOLITAN FAST GROWING","1993-94",1246928,45.5358,0
31914,"SANTA ROSA ISD","NON-METROPOLITAN STABLE","1993-94",2019665,75.3306,0
31916,"SOUTH TEXAS ISD","NON-METROPOLITAN FAST GROWING","1993-94",3425101,116.3338,0
32902,"PITTSBURG ISD","NON-METROPOLITAN STABLE","1993-94",3711557,135.715,0
33901,"GROOM ISD","RURAL","1993-94",495221,19.2955,0
33902,"PANHANDLE ISD","RURAL","1993-94",1677341,57.6643,0
33904,"WHITE DEER ISD","RURAL","1993-94",1135017,41.8514,187409
34901,"ATLANTA ISD","INDEPENDENT TOWN","1993-94",3541413,132.5194,0
34902,"AVINGER ISD","RURAL","1993-94",478972,18.4082,0
34903,"HUGHES SPRINGS ISD","NON-METROPOLITAN STABLE","1993-94",1883072,73.0059,0
34905,"LINDEN-KILDARE CISD","NON-METROPOLITAN STABLE","1993-94",2314954,88.0507,0
34906,"MCLEOD ISD","RURAL","1993-94",531884,22.1191,0
34907,"QUEEN CITY ISD","NON-METROPOLITAN STABLE","1993-94",1957672,75.7824,0
34908,"MARIETTA ISD","RURAL","1993-94",138779,4.7818,0
34909,"BLOOMBURG ISD","RURAL","1993-94",507424,19.9998,0
35901,"DIMMITT ISD","NON-METROPOLITAN STABLE","1993-94",3025268,111.0779,0
35902,"HART ISD","RURAL","1993-94",1195543,45.7354,0
35903,"NAZARETH ISD","RURAL","1993-94",540342,21.5676,0
36901,"ANAHUAC ISD","NON-METROPOLITAN STABLE","1993-94",2462874,91.1445,0
36902,"BARBERS HILL ISD","NON-METROPOLITAN STABLE","1993-94",4218376,120.4368,10151501
36903,"EAST CHAMBERS ISD","NON-METROPOLITAN STABLE","1993-94",1797711,64.7462,0
37901,"ALTO ISD","RURAL","1993-94",1311780,54.2759,0
37904,"JACKSONVILLE ISD","INDEPENDENT TOWN","1993-94",7403420,284.3639,0
37907,"RUSK ISD","NON-METROPOLITAN STABLE","1993-94",2819799,109.9009,0
37908,"NEW SUMMERFIELD ISD","RURAL","1993-94",575417,24.9977,0
37909,"WELLS ISD","RURAL","1993-94",704872,31.002,0
38901,"CHILDRESS ISD","NON-METROPOLITAN STABLE","1993-94",2132767,83.0182,0
39901,"BYERS ISD","RURAL","1993-94",324306,11.7851,0
39902,"HENRIETTA ISD","NON-METROPOLITAN STABLE","1993-94",1866906,69.9785,0
39903,"PETROLIA CISD","RURAL","1993-94",936230,36.7055,0
39904,"BELLEVUE ISD","RURAL","1993-94",445630,17.9207,0
39905,"MIDWAY ISD","RURAL","1993-94",462940,18.5965,0
40901,"MORTON ISD","RURAL","1993-94",1992134,73.5888,0
40902,"WHITEFACE CISD","NON-METROPOLITAN FAST GROWING","1993-94",1206890,39.1242,3088508
40903,"BLEDSOE ISD","RURAL","1993-94",176805,5.902,0
41901,"BRONTE ISD","RURAL","1993-94",723562,27.7246,0
41902,"ROBERT LEE ISD","RURAL","1993-94",810341,28.5387,0
42901,"COLEMAN ISD","NON-METROPOLITAN STABLE","1993-94",2329776,89.1716,0
42903,"SANTA ANNA ISD","RURAL","1993-94",844181,30.5001,0
42905,"PANTHER CREEK CISD","RURAL","1993-94",569910,22.0476,0
42906,"NOVICE ISD","RURAL","1993-94",353140,14.4986,0
43901,"ALLEN ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",10147848,363.4483,0
43902,"ANNA ISD","RURAL","1993-94",1398079,53.7744,0
43903,"CELINA ISD","RURAL","1993-94",1430662,55.7146,0
43904,"FARMERSVILLE ISD","NON-METROPOLITAN STABLE","1993-94",1847696,66.6368,0
43905,"FRISCO ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",3060193,114.8719,0
43907,"MCKINNEY ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",9706265,357.5475,0
43908,"MELISSA ISD","RURAL","1993-94",478608,21.4549,0
43910,"PLANO ISD","OTHER CENTRAL CITY","1993-94",65996243,2003.5919,0
43911,"PRINCETON ISD","NON-METROPOLITAN STABLE","1993-94",3034338,122.1038,0
43912,"PROSPER ISD","NON-METROPOLITAN FAST GROWING","1993-94",1385232,50.0007,0
43914,"WYLIE ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",4870957,191.2301,0
43917,"BLUE RIDGE ISD","RURAL","1993-94",827131,35.5031,0
43918,"COMMUNITY ISD","NON-METROPOLITAN STABLE","1993-94",1564714,64.9231,0
43919,"LOVEJOY ISD","NON-METROPOLITAN FAST GROWING","1993-94",927323,32.765,0
44902,"WELLINGTON ISD","RURAL","1993-94",1437922,55.2388,0
44904,"SAMNORWOOD ISD","RURAL","1993-94",338068,13.1311,0
45902,"COLUMBUS ISD","NON-METROPOLITAN STABLE","1993-94",2759663,107.0629,0
45903,"RICE CISD","NON-METROPOLITAN STABLE","1993-94",2750300,102.2625,0
45905,"WEIMAR ISD","RURAL","1993-94",1239306,45.9856,0
46901,"NEW BRAUNFELS ISD","NON-METROPOLITAN STABLE","1993-94",9100421,326.1558,0
46902,"COMAL ISD","INDEPENDENT TOWN","1993-94",13096944,462.5408,0
47901,"COMANCHE ISD","NON-METROPOLITAN STABLE","1993-94",2100477,81.9506,0
47902,"DE LEON ISD","RURAL","1993-94",1331526,53.1729,0
47903,"GUSTINE ISD","RURAL","1993-94",407505,16.6759,0
47905,"SIDNEY ISD","RURAL","1993-94",346645,12.3939,0
48901,"EDEN CISD","RURAL","1993-94",1005626,37.3769,0
48903,"PAINT ROCK ISD","RURAL","1993-94",412523,17.9052,0
49901,"GAINESVILLE ISD","INDEPENDENT TOWN","1993-94",4988086,177.642,0
49902,"MUENSTER ISD","RURAL","1993-94",843853,32.6151,0
49903,"VALLEY VIEW ISD","RURAL","1993-94",1166391,43.9302,0
49905,"CALLISBURG ISD","NON-METROPOLITAN STABLE","1993-94",1539609,57.5998,0
49906,"ERA ISD","RURAL","1993-94",803946,29.8417,0
49907,"LINDSAY ISD","RURAL","1993-94",843176,31.1839,0
49908,"WALNUT BEND ISD","RURAL","1993-94",121157,4.9998,0
49909,"SIVELLS BEND ISD","RURAL","1993-94",143761,6,0
50901,"EVANT ISD","RURAL","1993-94",530502,18.9993,0
50902,"GATESVILLE ISD","INDEPENDENT TOWN","1993-94",3678818,135.2992,0
50904,"OGLESBY ISD","RURAL","1993-94",349335,15.1232,0
50909,"JONESBORO ISD","RURAL","1993-94",552449,19.9928,0
50910,"COPPERAS COVE ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",11007512,414.85,0
51901,"PADUCAH ISD","RURAL","1993-94",910515,33.76,0
52901,"CRANE ISD","NON-METROPOLITAN STABLE","1993-94",2979397,92.6422,0
53001,"CROCKETT COUNTY CONSOLIDATED CSD","NON-METROPOLITAN STABLE","1993-94",2314531,78.0113,0
54901,"CROSBYTON CISD","RURAL","1993-94",1273471,49.0267,0
54902,"LORENZO ISD","RURAL","1993-94",1177666,47.0985,0
54903,"RALLS ISD","RURAL","1993-94",1271128,54.4416,0
55901,"CULBERSON COUNTY-ALLAMOORE ISD","RURAL","1993-94",1565046,61.0025,0
56901,"DALHART ISD","NON-METROPOLITAN STABLE","1993-94",2782745,106.5393,0
56902,"TEXLINE ISD","RURAL","1993-94",504395,18.222,0
57903,"CARROLLTON-FARMERS BRANCH ISD","MAJOR SUBURBAN","1993-94",34338716,1109.4503,0
57904,"CEDAR HILL ISD","MAJOR SUBURBAN","1993-94",8203564,298.7066,0
57905,"DALLAS ISD","MAJOR URBAN","1993-94",271236568,8576.7005,0
57906,"DESOTO ISD","MAJOR SUBURBAN","1993-94",11719968,409.7978,0
57907,"DUNCANVILLE ISD","MAJOR SUBURBAN","1993-94",17788662,590.293,0
57909,"GARLAND ISD","MAJOR SUBURBAN","1993-94",65723989,2283.4153,0
57910,"GRAND PRAIRIE ISD","MAJOR SUBURBAN","1993-94",28507117,947.4985,0
57911,"HIGHLAND PARK ISD","MAJOR SUBURBAN","1993-94",10302517,301.5854,0
57912,"IRVING ISD","MAJOR SUBURBAN","1993-94",42553921,1437.701,0
57913,"LANCASTER ISD","NON-METROPOLITAN STABLE","1993-94",7335844,271.9996,0
57914,"MESQUITE ISD","MAJOR SUBURBAN","1993-94",43596330,1473.9489,0
57916,"RICHARDSON ISD","MAJOR SUBURBAN","1993-94",61417676,1955.8788,0
57919,"SUNNYVALE ISD","RURAL","1993-94",734527,25.721,0
57920,"WILMER-HUTCHINS ISD","NON-METROPOLITAN STABLE","1993-94",7020037,234.4328,0
57922,"COPPELL ISD","MAJOR SUBURBAN","1993-94",8723976,304.7443,0
58902,"DAWSON ISD","RURAL","1993-94",522209,16.5914,1519942
58905,"KLONDIKE ISD","RURAL","1993-94",732711,25.5079,652696
58906,"LAMESA ISD","NON-METROPOLITAN STABLE","1993-94",4849748,181.3121,0
58909,"SANDS CISD","RURAL","1993-94",499632,16.8889,0
59901,"HEREFORD ISD","NON-METROPOLITAN STABLE","1993-94",8624956,321.329,0
59902,"WALCOTT ISD","RURAL","1993-94",142519,5.8637,0
60902,"COOPER ISD","NON-METROPOLITAN STABLE","1993-94",1605177,59.307,0
60914,"FANNINDEL ISD","RURAL","1993-94",722169,29.0019,0
61901,"DENTON ISD","OTHER CENTRAL CITY","1993-94",20315810,696.4631,0
61902,"LEWISVILLE ISD","MAJOR SUBURBAN","1993-94",42406107,1500.0335,0
61903,"PILOT POINT ISD","NON-METROPOLITAN STABLE","1993-94",1720849,69.0515,0
61905,"KRUM ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",1700300,67.2702,0
61906,"PONDER ISD","RURAL","1993-94",806779,36.8847,0
61907,"AUBREY ISD","RURAL","1993-94",1380915,57.8065,0
61908,"SANGER ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",2635129,105.5499,0
61910,"ARGYLE ISD","RURAL","1993-94",1034486,41.2667,0
61911,"NORTHWEST ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",7148128,256.3976,0
61912,"LAKE DALLAS ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",2984433,124.0482,0
61914,"LITTLE ELM ISD","OTHER CENTRAL CITY SUBURBAN","1993-94",1967784,76.4119,0
62901,"CUERO ISD","NON-METROPOLITAN STABLE","1993-94",3481914,133.3156,0
62902,"NORDHEIM ISD","RURAL","1993-94",413891,16.216,0
62903,"YOAKUM ISD","NON-METROPOLITAN STABLE","1993-94",3145671,114.496,0
62904,"YORKTOWN ISD","RURAL","1993-94",1529991,60.1112,0
62905,"WESTHOFF ISD","RURAL","1993-94",181229,7.0004,0
62906,"MEYERSVILLE ISD","RURAL","1993-94",261949,9.8474,0
63903,"SPUR ISD","RURAL","1993-94",958757,37.4126,0
63906,"PATTON SPRINGS ISD","RURAL","1993-94",327829,15.4342,0
64901,"ASHERTON ISD","RURAL","1993-94",1147003,39.9833,0
64903,"CARRIZO SPRINGS CISD","NON-METROPOLITAN STABLE","1993-94",4405192,161.7822,0
65901,"CLARENDON ISD","RURAL","1993-94",1119695,42.8778,0
65902,"HEDLEY ISD","RURAL","1993-94",246872,11.2175,0
66005,"RAMIREZ CSD","RURAL","1993-94",123760,5,0
66901,"BENAVIDES ISD","RURAL","1993-94",1635810,57.643,0
66902,"SAN DIEGO ISD","NON-METROPOLITAN STABLE","1993-94",3012538,110.0406,0
66903,"FREER ISD","NON-METROPOLITAN STABLE","1993-94",2270829,78.4065,0
67902,"CISCO ISD","NON-METROPOLITAN STABLE","1993-94",1648755,65.1194,0
67903,"EASTLAND ISD","NON-METROPOLITAN STABLE","1993-94",2072625,79.1651,0
67904,"GORMAN ISD","RURAL","1993-94",755927,28.5249,0
67907,"RANGER ISD","RURAL","1993-94",1338012,53.0054,0
67908,"RISING STAR ISD","RURAL","1993-94",547823,22.1355,0
68901,"ECTOR COUNTY ISD","OTHER CENTRAL CITY","1993-94",42874639,1627.5796,0
69901,"ROCKSPRINGS ISD","RURAL","1993-94",1006380,37.6644,0
69902,"NUECES CANYON CISD","RURAL","1993-94",725175,30.7987,0
70901,"AVALON ISD","RURAL","1993-94",388804,16.6191,0
70903,"ENNIS ISD","INDEPENDENT TOWN","1993-94",7885136,261.7017,0
70905,"FERRIS ISD","NON-METROPOLITAN STABLE","1993-94",2623531,98.1055,0
70907,"ITALY ISD","RURAL","1993-94",1328098,47.0021,0
70908,"MIDLOTHIAN ISD","NON-METROPOLITAN STABLE","1993-94",5359103,198.0468,0
70909,"MILFORD ISD","RURAL","1993-94",431151,17.4903,0
70910,"PALMER ISD","NON-METROPOLITAN FAST GROWING","1993-94",1478732,55.9425,0
70911,"RED OAK ISD","NON-METROPOLITAN STABLE","1993-94",5196662,194.8839,0
70912,"WAXAHACHIE ISD","INDEPENDENT TOWN","1993-94",8274024,289.558,0
70915,"MAYPEARL ISD","NON-METROPOLITAN FAST GROWING","1993-94",1044650,43.7793,0
71901,"CLINT ISD","MAJOR SUBURBAN","1993-94",9952565,355.2737,0
71902,"EL PASO ISD","MAJOR URBAN","1993-94",113473480,3885.9517,0
71903,"FABENS ISD","NON-METROPOLITAN FAST GROWING","1993-94",4734662,170.6385,0
71904,"SAN ELIZARIO ISD","NON-METROPOLITAN FAST GROWING","1993-94",4197328,174.1777,0
71905,"YSLETA ISD","MAJOR URBAN","1993-94",79759810,1214.7393,0
71906,"ANTHONY ISD","NON-METROPOLITAN FAST GROWING","1993-94",1456341,49.9063,0
71907,"CANUTILLO ISD","MAJOR SUBURBAN","1993-94",7757661,273.8783,0
71908,"TORNILLO ISD","NON-METROPOLITAN FAST GROWING","1993-94",959771,33.8027,0
71909,"SOCORRO ISD","MAJOR SUBURBAN","1993-94",30388189,1090.0488,0
72901,"THREE WAY ISD","RURAL","1993-94",85844,4,0
72902,"DUBLIN ISD","NON-METROPOLITAN FAST GROWING","1993-94",2078800,79.2102,0
72903,"STEPHENVILLE ISD","INDEPENDENT TOWN","1993-94",4840625,181.9751,0
72904,"BLUFF DALE ISD","RURAL","1993-94",161068,6.9999,0
72908,"HUCKABAY ISD","RURAL","1993-94",431538,17.5828,0
72909,"LINGLEVILLE ISD","RURAL","1993-94",453175,17.762,0
72910,"MORGAN MILL ISD","RURAL","1993-94",178686,7.0784,0
73901,"CHILTON ISD","RURAL","1993-94",686811,27.8115,0
73903,"MARLIN ISD","NON-METROPOLITAN STABLE","1993-94",2930806,115.6447,0
73904,"WESTPHALIA ISD","RURAL","1993-94",199332,8.9403,0
73905,"ROSEBUD-LOTT ISD","NON-METROPOLITAN STABLE","1993-94",1751831,71.8418,0
74903,"BONHAM ISD","NON-METROPOLITAN STABLE","1993-94",3511840,135.9041,0
74904,"DODD CITY ISD","RURAL","1993-94",475613,20.4269,0
74905,"ECTOR ISD","RURAL","1993-94",426106,17.8338,0
74907,"HONEY GROVE ISD","RURAL","1993-94",1388209,51.0012,0
74909,"LEONARD ISD","NON-METROPOLITAN FAST GROWING","1993-94",1199007,48.3538,0
74911,"SAVOY ISD","RURAL","1993-94",592296,23.1398,0
74912,"TRENTON ISD","RURAL","1993-94",720705,26.7916,0
74917,"SAM RAYBURN ISD","RURAL","1993-94",821299,33.001,0
75901,"FLATONIA ISD","RURAL","1993-94",1087867,38.7739,0
75902,"LA GRANGE ISD","NON-METROPOLITAN STABLE","1993-94",3179296,122.2087,0
75903,"SCHULENBURG ISD","RURAL","1993-94",1389117,54.7311,0
75906,"FAYETTEVILLE ISD","RURAL","1993-94",448881,17.9765,0
75908,"ROUND TOP-CARMINE ISD","RURAL","1993-94",548372,18.9718,0
76903,"ROBY CISD","RURAL","1993-94",840409,32.843,0
76904,"ROTAN ISD","RURAL","1993-94",1061176,39.3144,0
77901,"FLOYDADA ISD","NON-METROPOLITAN STABLE","1993-94",2154621,88.1734,0
77902,"LOCKNEY ISD","RURAL","1993-94",1561134,61.4429,0
78901,"CROWELL ISD","RURAL","1993-94",783829,32.093,0
79901,"LAMAR CISD","OTHER CENTRAL CITY","1993-94",22738112,755.692,0
79906,"NEEDVILLE ISD","NON-METROPOLITAN STABLE","1993-94",3530307,126.3635,0
79907,"FORT BEND ISD","MAJOR SUBURBAN","1993-94",66231632,2261.2308,0
79908,"KENDLETON ISD","RURAL","1993-94",289215,10.4287,0
79910,"STAFFORD MSD","NON-METROPOLITAN FAST GROWING","1993-94",3544095,121.6985,0
80901,"MOUNT VERNON ISD","NON-METROPOLITAN FAST GROWING","1993-94",2172914,84.8381,0
